Timestamp,Username,VideoID,Comment,Date,source,comment_length,word_count,processed_comment
,@Nobodysouls4444,,yang di untungkan mereka yng punya pengelolaan mbg ny uang nyari ny ngalir masukblm lagi korupsi ny mbg mau di patenkan masuk uu biar gk berhenti ketahuan banget niat busukny harusnya program pendidikan dan kesehatan gratis se indonesia,2026-01-29T08:30:52Z,BBC,236.0,38.0,untung yng punya kelola ny uang cari ny ngalir masukblm korupsi ny paten masuk uu biar henti tahu sangat niat busukny harus program didik sehat gratis se indonesia
,@noellweener9rt,,sudah ketebak planning pilpres 2029 diikat dengan status asn biar suaranya nanti gak lari,2026-01-24T04:09:27Z,BBC,89.0,14.0,tebak rencana milu presiden 2029 ikat status asn biar suara lari
,@noers3118,,belum nyampe tempat saya mbg nya buuu biarkan yang lain kenyang dulu mungkin baru masuk ke tmpt sy,2026-01-24T15:43:47Z,BBC,98.0,18.0,tempat buuu biar kenyang dulu mungkin baru masuk tmpt
,@noorhadi6022,,kamus bahasa rakyat iq 78 yang goblok milih pemimpin karena makanan basi gratis kesejahteraan rakyat omon omon kesejahteraan pejabat gemoy kritikan terhadap pemerintah antek aseng,2026-02-27T02:23:24Z,BBC,179.0,25.0,kamus bahasa rakyat iq 78 goblok pilih pimpin makan basi gratis sejahtera rakyat omon omon sejahtera jabat gemoy kritik perintah antek aseng
,@NorhadiNaufal,,buang buang anggaran,2026-01-27T02:09:45Z,BBC,20.0,3.0,buang buang anggar
,@notme_ns,,setidaknya mbg dinikmati anak anak indonesia gak kek formula e gak ada mnfaat,2026-02-26T17:08:53Z,BBC,77.0,13.0,nikmat anak anak indonesia formula e mnfaat
,@notme_ns,,ekonomi parah karena lu malas kerja bagi pdgang kek gue biasa aja tuh malah seneng liat anak2 bisa mkn grtis dan brgizi,2026-02-26T17:10:48Z,BBC,119.0,22.0,ekonomi parah malas kerja pdgang lumrah malah neng lihat anak2 makan grtis brgizi
,@notme_ns,,mbg satu hari untuk anak itu 15ribu jelas lngsung msuk keperut anak makanan brgizi trus lu mau dikelola sm ortu uangnya lu mau kelola uang 15ribu buat apa mnimal klo udh bpk2 itu punya wawasan luas pak,2026-02-26T17:16:06Z,BBC,201.0,37.0,satu hari anak 15ribu jelas lngsung msuk perut anak makan brgizi terus kelola orang tua uang kelola uang 15ribu buat mnimal bpk2 punya wawas luas
,@notme_ns,,gue pedagang di pasar biasa saja,2026-02-26T17:21:17Z,BBC,32.0,6.0,dagang pasar lumrah
,@notme_ns,,yang kalah akan selalu menjelaskan dan kepanasan sama program yang menang pilpres tapi gue gak heran sih sama kualitas sdm anak abah efek sumur resapan dan tugu rotan,2026-02-26T17:19:33Z,BBC,166.0,28.0,kalah selalu jelas panas program menang milu presiden heran sih kualitas sumber daya manusia anak ayah efek sumur resap tugu rotan
,@noviafajrianiputri,,bersyukur bukan berarti pasrah bersyukur itu jika diberi amanah dan jabatan maka harus memberikan yang terbaik bukan penting ada pemberian mbg uang bersama bukan pribadi kalo uang pribadi gak pantas kita kritik juga,2026-01-08T06:17:49Z,BBC,215.0,33.0,syukur bukan arti pasrah syukur beri amanah jabat beri baik bukan penting beri uang sama bukan pribadi uang pribadi pantas kritik
,@noviangator5866,,program konyol gak guna ngabisin anggaran yang untuk yang lebih penting,2026-01-28T04:20:45Z,BBC,71.0,11.0,program konyol ngabisin anggar lebih penting
,@NoviaStefanie,,namanya juga program besar baru jalan setahun pasti ada evaluasi di sanasini tapi jangan tutup mata juga kalau manfaatnya sudah dirasakan banyak anak pemerintahan prabowo subianto pasti terus benahi kekurangan yang penting jangan langsung divonis gagal,2026-02-24T04:02:59Z,BBC,252.0,36.0,nama program besar baru jalan tahun evaluasi sanasini jangan mata manfaat rasa banyak anak perintah prabowo subianto terus benah kurang penting jangan langsung vonis gagal
,@nstpsld8015,,bubarkan mbg,2026-01-15T05:08:10Z,BBC,12.0,2.0,bubar
,@nugrohoifadianto9497,,ada susu ultra mimi diborong pengepul mungkin mbg terpaksa beli di pengepulkarena di toko sudah di borongsemua titik lemah nya adalawan orang2 oportunisharusnya bisa dibenahi lagi soal tenaga kerja bahan baku dan lain nyasaya rasa sama harus di benahi terus aturan nyabertahap diperbaiki,2026-01-22T03:00:01Z,BBC,287.0,43.0,susu ultra mimi borong kepul mungkin paksa beli pengepulkarena toko borongsemua titik lemah adalawan orang2 oportunisharusnya benah soal tenaga kerja bahan baku nyasaya rasa benah terus atur nyabertahap baik
,@Nunnalee2908,,saya mah alhamdulillah adanya mbg anak saya tidak jajan sembarangan dan bisa menabung dan yang tadinya nyengir di kasih kasih sayuran buncis tahu sekarang malah minta di masakin yang kayak di mbg,2026-01-12T10:58:39Z,BBC,195.0,32.0,mah alhamdulillah ada anak jajan sembarang tabung tadi senyum sayur buncis tahu malah minta masak
,@nurdinalu3461,,program mbg ini adalah salah satu program politik di 2029 nanti,2026-02-16T23:03:03Z,BBC,63.0,11.0,program salah satu program politik 2029
